Unnamed: 0,category,year,month,CPS,Popularity Score
5657,Digital Music,1998,4,2.95360734725332,11.528284383984536
5661,Digital Music,1998,6,3.045712205859012,12.039227685887044
5658,Digital Music,1998,7,9.140170021818944,45.84767652269674
5663,Digital Music,1998,8,4.741229630395187,21.44495594431159
3231,Books,1998,9,3.208825489014699,12.944083746049063
5662,Digital Music,1998,9,6.384224282718592,30.55931891467512
5656,Digital Music,1998,10,2.8419981736119486,10.909142673479716
3230,Books,1998,11,2.3513752571634776,8.187456795947416
5659,Digital Music,1998,11,6.472037127702952,31.04645266250316
5660,Digital Music,1998,12,3.073850052817943,12.195319825338368
4995,Movies & TV,1998,12,6.068483456940055,28.807775483515226
5632,Digital Music,1999,1,3.975467177984681,17.196958587488023
5633,Digital Music,1999,2,1.0818051703517284,1.1446325413736795
5638,Digital Music,1999,3,7.528828954916659,36.908908930220505
5635,Digital Music,1999,4,5.381968939043647,24.99939881492193
5636,Digital Music,1999,5,6.430243534246079,30.81460651494384
3227,Books,1999,6,2.465978639902481,8.823208608308866
5641,Digital Music,1999,6,4.815228497753646,21.85545791128209
5637,Digital Music,1999,7,5.729693856440702,26.928371076952523
3228,Books,1999,8,4.464758032271346,19.911254971679845
5643,Digital Music,1999,8,4.422148384079743,19.674881834914867
4993,Movies & TV,1999,8,2.509599262378372,9.065190032701356
5642,Digital Music,1999,9,5.500645778148327,25.65774775491749
5634,Digital Music,1999,10,5.718178354939933,26.86448988274696
5639,Digital Music,1999,11,7.928577182703592,39.126475761407306
4992,Movies & TV,1999,11,9.816576625046732,49.599980456644815
5942,Video Games,1999,11,4.12552017969055,18.02936392758201
3229,Books,1999,12,5.97609706997686,28.29527042872867
5640,Digital Music,1999,12,6.830847236441558,33.03691901238117
4994,Movies & TV,1999,12,8.964874521657482,44.87524072487866
5941,Video Games,1999,12,3.783052624131186,16.129556400803295
2953,Cell Phones & Accessories,2000,1,4.848116364598481,22.037900352784217
5644,Digital Music,2000,1,8.229411113964122,40.79532455493956
4956,Movies & TV,2000,1,2.101080716783317,6.798970663445963
5933,Video Games,2000,1,3.185319041339358,12.813683871677016
5645,Digital Music,2000,2,7.88121998013081,38.863765999754094
4618,Software,2000,2,2.8763855159214247,11.09990331834943
5934,Video Games,2000,2,3.622338930305692,15.238011843575428
5650,Digital Music,2000,3,6.579424808052547,31.642176024029304
3204,Books,2000,4,3.36901848329792,13.832739770061034
5647,Digital Music,2000,4,8.187897144243992,40.56502959455433
4954,Movies & TV,2000,4,5.867388313254215,27.69221851652311
3199,Books,2000,5,6.191237112098952,29.48874018871062
5648,Digital Music,2000,5,8.197428601497602,40.61790448427053
4616,Software,2000,5,4.297285406218791,18.982215854428663
5936,Video Games,2000,5,4.678188278724663,21.09523979614583
3198,Books,2000,6,2.822865875530792,10.803007994999623
5653,Digital Music,2000,6,8.280901075346753,41.080960419126725
4955,Movies & TV,2000,6,9.020259791660475,45.182485458332295
5932,Video Games,2000,6,4.574453213326031,20.51977898289211
3200,Books,2000,7,10.296349405564134,52.26147619477909
5649,Digital Music,2000,7,7.803782077174681,38.43418629649221
4619,Software,2000,7,3.0819099697950434,12.240031479595066
5928,Video Games,2000,7,4.927434828170108,22.477912294527933
5655,Digital Music,2000,8,8.128769549162925,40.23702465408088
4617,Software,2000,8,4.159664028342744,18.218773813597878
5929,Video Games,2000,8,6.475894859514441,31.06785307784992
937,Amazon Home,2000,9,9.68967687663722,48.89601567732157
3202,Books,2000,9,4.903050083416319,22.342640147225808
5654,Digital Music,2000,9,7.135090034914815,34.7246781858411
4957,Movies & TV,2000,9,9.163544842200276,45.97734620666149
5935,Video Games,2000,9,2.598979106047848,9.56101656280354
938,Amazon Home,2000,10,2.379546134130174,8.343732166354027
3203,Books,2000,10,7.909186472107364,39.01890756307058
5646,Digital Music,2000,10,7.8570067868079,38.72944551836695
4952,Movies & TV,2000,10,8.95131702043885,44.80003172349632
733,Tools & Home Improvement,2000,10,7.362105784820112,35.98402735152472
2404,Toys & Games,2000,10,8.134364925713601,40.26806449512152
5931,Video Games,2000,10,7.120707070301509,34.64489000157027
5651,Digital Music,2000,11,7.590637454184085,37.25178594213294
4614,Software,2000,11,1.7621589994517644,4.918833350807483
2405,Toys & Games,2000,11,2.169053700369523,7.17604458983224
5937,Video Games,2000,11,4.303727198286273,19.0179511083442
3201,Books,2000,12,5.577084821610243,26.081786376244768
5652,Digital Music,2000,12,9.918185260109189,50.16364509156788
4953,Movies & TV,2000,12,8.320076727738025,41.298283777416366
4615,Software,2000,12,4.455219009224587,19.85833811141625
5930,Video Games,2000,12,4.79123472906088,21.722354668016173
3219,Books,2001,1,1.4816045409242151,3.362483082498422
5603,Digital Music,2001,1,9.61931597773747,48.50569500854368
4990,Movies & TV,2001,1,5.976350909297934,28.296678579208734
4625,Software,2001,1,2.825833236758593,10.819469160747255
732,Tools & Home Improvement,2001,1,2.70805020110221,10.166078513854124
5922,Video Games,2001,1,5.144291678908929,23.68090589371496
936,Amazon Home,2001,2,9.689311485378084,48.893988702640144
3222,Books,2001,2,3.6323091026255416,15.293320465104824
5604,Digital Music,2001,2,9.27362028890366,46.58797970687451
4982,Movies & TV,2001,2,5.859432030607195,27.648081764259675
5923,Video Games,2001,2,5.912083079100636,27.94015865328717
234,All Beauty,2001,3,3.616308761279101,15.204560030933632
3218,Books,2001,3,3.642180851104696,15.348083089355558
5609,Digital Music,2001,3,9.282800558705445,46.63890641623477
4983,Movies & TV,2001,3,8.962721606313892,44.86329762338517
5916,Video Games,2001,3,2.716349003916905,10.21211536550525
5606,Digital Music,2001,4,10.16938499106362,51.55715268621445
4988,Movies & TV,2001,4,9.700168074366566,48.95421463978556
5926,Video Games,2001,4,5.072043922224899,23.2801180534858
3221,Books,2001,5,4.606169686321175,20.69572322386008
5607,Digital Music,2001,5,9.620177575199008,48.51047464187218
4623,Software,2001,5,1.1069110914828049,1.2839053488477412
5925,Video Games,2001,5,6.253540308423979,29.834361487427014
3220,Books,2001,6,2.377228635989812,8.330876056807638
5612,Digital Music,2001,6,8.005383750527514,39.55255319060959
4989,Movies & TV,2001,6,7.907256005070378,39.00819847326768
5921,Video Games,2001,6,5.989149369150542,28.36767686784792
5608,Digital Music,2001,7,8.931961556383873,44.69265905213224
4984,Movies & TV,2001,7,6.916863671346128,33.51408733914854
5917,Video Games,2001,7,7.862468328453568,38.7597429224796
3223,Books,2001,8,7.601289884483346,37.310879327571946
5614,Digital Music,2001,8,8.979095342127561,44.95412942930467
4986,Movies & TV,2001,8,8.926278405692555,44.66113229205258
4624,Software,2001,8,2.7942278973432626,10.64414142317641
5918,Video Games,2001,8,5.179252259389097,23.87484652504948
233,All Beauty,2001,9,3.610917912644224,15.174654789850178
5613,Digital Music,2001,9,8.285620464205799,41.10714079835
4991,Movies & TV,2001,9,7.984317917688487,39.43569240442481
5924,Video Games,2001,9,5.138148614395215,23.646827803655945
3450,All Electronics,2001,10,3.003204288392692,11.80341889104136
3226,Books,2001,10,3.730501128804756,15.83803177388919
5605,Digital Music,2001,10,8.998550868813163,45.06205718898509
6573,Magazine Subscriptions,2001,10,11.878483958081548,61.0382233127356
4620,Software,2001,10,4.45405655631833,19.851889509950265
5920,Video Games,2001,10,5.845571346927579,27.571190885829388
3224,Books,2001,11,4.849292143687493,22.04442288003351
5610,Digital Music,2001,11,8.826051946717342,44.10513515290028
6572,Magazine Subscriptions,2001,11,11.3232783416135,57.95827079766304
4985,Movies & TV,2001,11,8.92802719451328,44.67083353852229
4621,Software,2001,11,6.175347384468889,29.40059337404156
5927,Video Games,2001,11,8.555090914419246,42.6020035415485
3225,Books,2001,12,2.706382144001513,10.156825119237444
5611,Digital Music,2001,12,9.165397920855591,45.98762599147594
6571,Magazine Subscriptions,2001,12,11.15686390430208,57.035101885932136
4987,Movies & TV,2001,12,9.216814370351669,46.27285405517773
4622,Software,2001,12,1.9169226121820608,5.777370375887855
5919,Video Games,2001,12,7.752163253382666,38.14783557984299
3167,Books,2002,1,2.031432322493475,6.412602549001448
5591,Digital Music,2002,1,10.40483313234673,52.863279773918
6563,Magazine Subscriptions,2002,1,11.623112165838284,59.62157158863783
4818,Movies & TV,2002,1,7.964355629316477,39.324953430512586
4609,Software,2002,1,5.196561457593649,23.970867723255548
5910,Video Games,2002,1,8.046869510959576,39.78269166254232
5592,Digital Music,2002,2,9.360226973529752,47.06842239013326
6565,Magazine Subscriptions,2002,2,10.180201254232925,51.61715491955624
4809,Movies & TV,2002,2,8.968981932241068,44.89802621043953
4611,Software,2002,2,5.602303305706347,26.22168361650005
5911,Video Games,2002,2,6.826274037114254,33.01154960625077
5597,Digital Music,2002,3,9.308251711284507,46.78009436367675
6562,Magazine Subscriptions,2002,3,9.981331305819085,50.51394202036754
4810,Movies & TV,2002,3,6.24518579888633,29.78801560781152
5904,Video Games,2002,3,7.257443371621303,35.40342216093622
2626,Baby,2002,4,3.277144732992177,13.323078520372276
3174,Books,2002,4,3.8753590210565543,16.641617718151185
5594,Digital Music,2002,4,9.072904222845873,45.474525638447
6560,Magazine Subscriptions,2002,4,10.026352099859803,50.76369076880128
4816,Movies & TV,2002,4,1.634130525024472,4.208607066855733
4610,Software,2002,4,2.9856819377004897,11.706215248852452
5914,Video Games,2002,4,7.7751708430741555,38.27546808505223
5595,Digital Music,2002,5,11.046518161186889,56.422968941029296
6567,Magazine Subscriptions,2002,5,11.21827315676756,57.37576411262751
4814,Movies & TV,2002,5,3.4061849231731944,14.038917205185616
